iteration=0
('C', 0, 0, 'D', 0):NONE=0
('C', 0, 0, 'D', 25):STAY=0.0
('C', 0, 0, 'D', 50):STAY=0.0
('C', 0, 0, 'D', 75):STAY=0.0
('C', 0, 0, 'D', 100):STAY=0.0
('C', 0, 0, 'R', 0):NONE=0
('C', 0, 0, 'R', 25):STAY=-20.0
('C', 0, 0, 'R', 50):STAY=-20.0
('C', 0, 0, 'R', 75):STAY=-20.0
('C', 0, 0, 'R', 100):STAY=-20.0
('C', 0, 1, 'D', 0):NONE=0
('C', 0, 1, 'D', 25):SHOOT=20.0
('C', 0, 1, 'D', 50):STAY=0.0
('C', 0, 1, 'D', 75):STAY=0.0
('C', 0, 1, 'D', 100):STAY=0.0
('C', 0, 1, 'R', 0):NONE=0
('C', 0, 1, 'R', 25):SHOOT=-12.5
('C', 0, 1, 'R', 50):STAY=-20.0
('C', 0, 1, 'R', 75):STAY=-20.0
('C', 0, 1, 'R', 100):STAY=-20.0
('C', 0, 2, 'D', 0):NONE=0
('C', 0, 2, 'D', 25):SHOOT=20.0
('C', 0, 2, 'D', 50):STAY=0.0
('C', 0, 2, 'D', 75):STAY=0.0
('C', 0, 2, 'D', 100):STAY=0.0
('C', 0, 2, 'R', 0):NONE=0
('C', 0, 2, 'R', 25):SHOOT=-12.5
('C', 0, 2, 'R', 50):STAY=-20.0
('C', 0, 2, 'R', 75):STAY=-20.0
('C', 0, 2, 'R', 100):STAY=-20.0
('C', 0, 3, 'D', 0):NONE=0
('C', 0, 3, 'D', 25):SHOOT=20.0
('C', 0, 3, 'D', 50):STAY=0.0
('C', 0, 3, 'D', 75):STAY=0.0
('C', 0, 3, 'D', 100):STAY=0.0
('C', 0, 3, 'R', 0):NONE=0
('C', 0, 3, 'R', 25):SHOOT=-12.5
('C', 0, 3, 'R', 50):STAY=-20.0
('C', 0, 3, 'R', 75):STAY=-20.0
('C', 0, 3, 'R', 100):STAY=-20.0
('C', 1, 0, 'D', 0):NONE=0
('C', 1, 0, 'D', 25):STAY=0.0
('C', 1, 0, 'D', 50):STAY=0.0
('C', 1, 0, 'D', 75):STAY=0.0
('C', 1, 0, 'D', 100):STAY=0.0
('C', 1, 0, 'R', 0):NONE=0
('C', 1, 0, 'R', 25):STAY=-20.0
('C', 1, 0, 'R', 50):STAY=-20.0
('C', 1, 0, 'R', 75):STAY=-20.0
('C', 1, 0, 'R', 100):STAY=-20.0
('C', 1, 1, 'D', 0):NONE=0
('C', 1, 1, 'D', 25):SHOOT=20.0
('C', 1, 1, 'D', 50):STAY=0.0
('C', 1, 1, 'D', 75):STAY=0.0
('C', 1, 1, 'D', 100):STAY=0.0
('C', 1, 1, 'R', 0):NONE=0
('C', 1, 1, 'R', 25):SHOOT=-12.5
('C', 1, 1, 'R', 50):STAY=-20.0
('C', 1, 1, 'R', 75):STAY=-20.0
('C', 1, 1, 'R', 100):STAY=-20.0
('C', 1, 2, 'D', 0):NONE=0
('C', 1, 2, 'D', 25):SHOOT=20.0
('C', 1, 2, 'D', 50):STAY=0.0
('C', 1, 2, 'D', 75):STAY=0.0
('C', 1, 2, 'D', 100):STAY=0.0
('C', 1, 2, 'R', 0):NONE=0
('C', 1, 2, 'R', 25):SHOOT=-12.5
('C', 1, 2, 'R', 50):STAY=-20.0
('C', 1, 2, 'R', 75):STAY=-20.0
('C', 1, 2, 'R', 100):STAY=-20.0
('C', 1, 3, 'D', 0):NONE=0
('C', 1, 3, 'D', 25):SHOOT=20.0
('C', 1, 3, 'D', 50):STAY=0.0
('C', 1, 3, 'D', 75):STAY=0.0
('C', 1, 3, 'D', 100):STAY=0.0
('C', 1, 3, 'R', 0):NONE=0
('C', 1, 3, 'R', 25):SHOOT=-12.5
('C', 1, 3, 'R', 50):STAY=-20.0
('C', 1, 3, 'R', 75):STAY=-20.0
('C', 1, 3, 'R', 100):STAY=-20.0
('C', 2, 0, 'D', 0):NONE=0
('C', 2, 0, 'D', 25):STAY=0.0
